,GO_ID,GO_term,GO_term_Count
76,GO:0010629,negative regulation of gene expression,10
77,GO:0043524,negative regulation of neuron apoptotic process,10
78,GO:0098794,postsynapse,10
79,GO:0043197,dendritic spine,10
80,GO:0050839,cell adhesion molecule binding,9
81,GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,9
82,GO:0098793,presynapse,9
83,GO:0051968,"positive regulation of synaptic transmission, glutamatergic",9
84,GO:0000165,MAPK cascade,9
85,GO:0042734,presynaptic membrane,9
86,GO:0004672,protein kinase activity,9
87,GO:0060291,long-term synaptic potentiation,9
88,GO:0007612,learning,9
89,GO:0007507,heart development,9
90,GO:0005576,extracellular region,9
91,GO:0005739,mitochondrion,9
92,GO:0030534,adult behavior,9
93,GO:0047485,protein N-terminus binding,9
94,GO:0007416,synapse assembly,9
95,GO:0005783,endoplasmic reticulum,9
96,GO:0051726,regulation of cell cycle,9
97,GO:0016363,nuclear matrix,9
98,GO:0140297,DNA-binding transcription factor binding,8
99,GO:0051402,neuron apoptotic process,8
100,GO:0071625,vocalization behavior,8
101,GO:0007155,cell adhesion,8
102,GO:0034765,regulation of ion transmembrane transport,8
103,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,8
104,GO:0008285,negative regulation of cell population proliferation,8
105,GO:0016605,PML body,8
106,GO:0060079,excitatory postsynaptic potential,8
107,GO:0009791,post-embryonic development,8
108,GO:0030154,cell differentiation,8
109,GO:0008542,visual learning,8
110,GO:0044325,transmembrane transporter binding,8
111,GO:0030027,lamellipodium,8
112,GO:0016567,protein ubiquitination,8
113,GO:0000776,kinetochore,8
114,GO:0035064,methylated histone binding,8
115,GO:0030426,growth cone,8
116,GO:0007049,cell cycle,7
117,GO:0042803,protein homodimerization activity,7
118,GO:0016477,cell migration,7
119,GO:0042995,cell projection,7
120,GO:0001666,response to hypoxia,7
121,GO:0007417,central nervous system development,7
122,GO:0050808,synapse organization,7
123,GO:0048167,regulation of synaptic plasticity,7
124,GO:0021987,cerebral cortex development,7
125,GO:0008104,protein localization,7
126,GO:0031490,chromatin DNA binding,7
127,GO:1990904,ribonucleoprotein complex,7
128,GO:0005856,cytoskeleton,7
129,GO:0007409,axonogenesis,7
130,GO:0050790,regulation of catalytic activity,7
131,GO:0007411,axon guidance,7
132,GO:0005615,extracellular space,7
133,GO:0050821,protein stabilization,7
134,GO:0004386,helicase activity,7
135,GO:0006915,apoptotic process,7
136,GO:0016570,histone modification,7
137,GO:0048156,tau protein binding,7
138,GO:0001764,neuron migration,7
139,GO:0030182,neuron differentiation,7
140,GO:0098839,postsynaptic density membrane,7
141,GO:0140658,ATP-dependent chromatin remodeler activity,7
142,GO:0051301,cell division,6
143,GO:0019899,enzyme binding,6
144,GO:0007158,neuron cell-cell adhesion,6
145,GO:0045597,positive regulation of cell differentiation,6
146,GO:0007613,memory,6
147,GO:0017148,negative regulation of translation,6
148,GO:0044877,protein-containing complex binding,6
149,GO:0030496,midbody,6
150,GO:0016514,SWI/SNF complex,6
151,GO:0006306,DNA methylation,6
152,GO:0098685,Schaffer collateral - CA1 synapse,6
153,GO:0060090,molecular adaptor activity,6
154,GO:0004842,ubiquitin-protein transferase activity,6
155,GO:0035264,multicellular organism growth,6
156,GO:0006281,DNA repair,6
157,GO:0005925,focal adhesion,6
158,GO:0030018,Z disc,6
159,GO:0045666,positive regulation of neuron differentiation,6
160,GO:0060076,excitatory synapse,6
161,GO:0005911,cell-cell junction,6
162,GO:0045663,positive regulation of myoblast differentiation,6
163,GO:0045296,cadherin binding,6
164,GO:0046982,protein heterodimerization activity,6
165,GO:0018105,peptidyl-serine phosphorylation,6
166,GO:0018024,histone lysine N-methyltransferase activity,6
167,GO:0007611,learning or memory,6
168,GO:0003729,mRNA binding,6
169,GO:0001525,angiogenesis,6
170,GO:0005764,lysosome,6
171,GO:0031267,small GTPase binding,6
172,GO:0002039,p53 binding,5
173,GO:0140092,bBAF complex,5
174,GO:0010494,cytoplasmic stress granule,5
175,GO:0030071,regulation of mitotic metaphase/anaphase transition,5
176,GO:0043565,sequence-specific DNA binding,5
177,GO:0007010,cytoskeleton organization,5
178,GO:0043065,positive regulation of apoptotic process,5
179,GO:0016324,apical plasma membrane,5
180,GO:0046928,regulation of neurotransmitter secretion,5
181,GO:0016358,dendrite development,5
182,GO:0043194,axon initial segment,5
183,GO:0070374,positive regulation of ERK1 and ERK2 cascade,5
184,GO:0061630,ubiquitin protein ligase activity,5
185,GO:0016055,Wnt signaling pathway,5
186,GO:0016301,kinase activity,5
187,GO:0043204,perikaryon,5
188,GO:0016323,basolateral plasma membrane,5
189,GO:2000819,regulation of nucleotide-excision repair,5
190,GO:0097110,scaffold protein binding,5
191,GO:0005509,calcium ion binding,5
192,GO:0007568,aging,5
193,GO:0071564,npBAF complex,5
194,GO:0008344,adult locomotory behavior,5
195,GO:0016192,vesicle-mediated transport,5
196,GO:0033268,node of Ranvier,5
197,GO:0019228,neuronal action potential,5
198,GO:0001540,amyloid-beta binding,5
199,GO:0001843,neural tube closure,5
200,GO:0009887,animal organ morphogenesis,5
201,GO:2000781,positive regulation of double-strand break repair,5
202,GO:0045582,positive regulation of T cell differentiation,5
203,GO:0005694,chromosome,5
204,GO:0050890,cognition,5
205,GO:0003779,actin binding,5
206,GO:0000922,spindle pole,5
207,GO:0031965,nuclear membrane,5
208,GO:0042752,regulation of circadian rhythm,5
209,GO:0008306,associative learning,5
210,GO:0000139,Golgi membrane,5
211,GO:0097104,postsynaptic membrane assembly,5
212,GO:0003712,transcription coregulator activity,5
213,GO:0072686,mitotic spindle,5
214,GO:0008017,microtubule binding,5
215,GO:0042593,glucose homeostasis,5
216,GO:0010467,gene expression,5
217,GO:0005874,microtubule,5
218,GO:0070316,regulation of G0 to G1 transition,5
219,GO:2000045,regulation of G1/S transition of mitotic cell cycle,5
220,GO:0005096,GTPase activator activity,5
221,GO:0060325,face morphogenesis,5
222,GO:0099634,postsynaptic specialization membrane,5
223,GO:0042800,histone H3K4 methyltransferase activity,5
224,GO:0051568,histone H3-K4 methylation,5
225,GO:0003924,GTPase activity,5
226,GO:0071565,nBAF complex,5
227,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,5
228,GO:0016573,histone acetylation,5
229,GO:0006886,intracellular protein transport,5
230,GO:0035556,intracellular signal transduction,5
231,GO:0001701,in utero embryonic development,5
232,GO:0016575,histone deacetylation,5
233,GO:0072659,protein localization to plasma membrane,5
234,GO:0046777,protein autophosphorylation,5
235,GO:0000118,histone deacetylase complex,5
236,GO:0019722,calcium-mediated signaling,4
237,GO:0048786,presynaptic active zone,4
238,GO:0016525,negative regulation of angiogenesis,4
239,GO:0009410,response to xenobiotic stimulus,4
240,GO:0016922,nuclear receptor binding,4
241,GO:0048873,homeostasis of number of cells within a tissue,4
242,GO:0060070,canonical Wnt signaling pathway,4
243,GO:0005938,cell cortex,4
244,GO:0050681,nuclear androgen receptor binding,4
245,GO:0032452,histone demethylase activity,4
246,GO:0005516,calmodulin binding,4
247,GO:0006954,inflammatory response,4
248,GO:0005765,lysosomal membrane,4
249,GO:0019904,protein domain specific binding,4
250,GO:0019900,kinase binding,4
251,GO:0048675,axon extension,4
252,GO:0051091,positive regulation of DNA-binding transcription factor activity,4
253,GO:0043547,positive regulation of GTPase activity,4
254,GO:0006470,protein dephosphorylation,4
255,GO:0014704,intercalated disc,4
256,GO:0015276,ligand-gated ion channel activity,4
257,GO:0070577,lysine-acetylated histone binding,4
258,GO:0043410,positive regulation of MAPK cascade,4
259,GO:1990907,beta-catenin-TCF complex,4
260,GO:1990841,promoter-specific chromatin binding,4
261,GO:0035060,brahma complex,4
262,GO:0097105,presynaptic membrane assembly,4
263,GO:0003676,nucleic acid binding,4
264,GO:0030054,cell junction,4
265,GO:0032355,response to estradiol,4
266,GO:0097119,postsynaptic density protein 95 clustering,4
267,GO:0000123,histone acetyltransferase complex,4
268,GO:0007215,glutamate receptor signaling pathway,4
269,GO:0032435,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,4
270,GO:0045444,fat cell differentiation,4
271,GO:0042391,regulation of membrane potential,4
272,GO:0001934,positive regulation of protein phosphorylation,4
273,GO:0060997,dendritic spine morphogenesis,4
274,GO:0048169,regulation of long-term neuronal synaptic plasticity,4
275,GO:0007517,muscle organ development,4
276,GO:0005769,early endosome,4
277,GO:0045995,regulation of embryonic development,4
278,GO:0006897,endocytosis,4
279,GO:0030336,negative regulation of cell migration,4
280,GO:0030308,negative regulation of cell growth,4
281,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,4
282,GO:0098976,excitatory chemical synaptic transmission,4
283,GO:1902275,regulation of chromatin organization,4
284,GO:0010976,positive regulation of neuron projection development,4
285,GO:1902459,positive regulation of stem cell population maintenance,4
286,GO:0051965,positive regulation of synapse assembly,4
287,GO:0065003,protein-containing complex assembly,4
288,GO:0000209,protein polyubiquitination,4
289,GO:0007269,neurotransmitter secretion,4
290,GO:0090263,positive regulation of canonical Wnt signaling pathway,4
291,GO:0004402,histone acetyltransferase activity,4
292,GO:0048812,neuron projection morphogenesis,4
293,GO:0000791,euchromatin,4
294,GO:0071456,cellular response to hypoxia,4
295,GO:0046975,histone H3K36 methyltransferase activity,4
296,GO:0043621,protein self-association,4
297,GO:0007059,chromosome segregation,4
298,GO:0050885,neuromuscular process controlling balance,4
299,GO:0097109,neuroligin family protein binding,4
300,GO:0051056,regulation of small GTPase mediated signal transduction,4
301,GO:0042043,neurexin family protein binding,4
302,GO:0120162,positive regulation of cold-induced thermogenesis,4
303,GO:0045727,positive regulation of translation,4
304,GO:0002087,regulation of respiratory gaseous exchange by nervous system process,4
305,GO:0035235,ionotropic glutamate receptor signaling pathway,4
306,GO:0004721,phosphoprotein phosphatase activity,4
307,GO:0015629,actin cytoskeleton,4
308,GO:0030036,actin cytoskeleton organization,4
309,GO:0005891,voltage-gated calcium channel complex,4
310,GO:0005884,actin filament,4
311,GO:0035019,somatic stem cell population maintenance,4
312,GO:0005525,GTP binding,4
313,GO:0051879,Hsp90 protein binding,4
314,GO:0005200,structural constituent of cytoskeleton,4
315,GO:0030315,T-tubule,4
316,GO:0017053,transcription repressor complex,4
317,GO:0007283,spermatogenesis,4
318,GO:0031982,vesicle,4
319,GO:0097060,synaptic membrane,4
320,GO:0035725,sodium ion transmembrane transport,4
321,GO:0048488,synaptic vesicle endocytosis,4
322,GO:0045815,transcription initiation-coupled chromatin remodeling,4
323,GO:0008380,RNA splicing,4
324,GO:0001221,transcription coregulator binding,4
325,GO:0008021,synaptic vesicle,4
326,GO:0005912,adherens junction,4
327,GO:0005245,voltage-gated calcium channel activity,4
328,GO:0015630,microtubule cytoskeleton,3
329,GO:0000226,microtubule cytoskeleton organization,3
330,GO:0019003,GDP binding,3
331,GO:0002062,chondrocyte differentiation,3
332,GO:0031532,actin cytoskeleton reorganization,3
333,GO:0035613,RNA stem-loop binding,3
334,GO:0032922,circadian regulation of gene expression,3
335,GO:0000775,"chromosome, centromeric region",3
336,GO:0060170,ciliary membrane,3
337,GO:0086010,membrane depolarization during action potential,3
338,GO:0140288,GBAF complex,3
339,GO:0099505,regulation of presynaptic membrane potential,3
340,GO:0071805,potassium ion transmembrane transport,3
341,GO:0099175,regulation of postsynapse organization,3
342,GO:0006397,mRNA processing,3
343,GO:0099054,presynapse assembly,3
344,GO:0008134,transcription factor binding,3
345,GO:0001222,transcription corepressor binding,3
346,GO:0071339,MLL1 complex,3
347,GO:0048168,regulation of neuronal synaptic plasticity,3
348,GO:0090630,activation of GTPase activity,3
349,GO:0098982,GABA-ergic synapse,3
350,GO:1902476,chloride transmembrane transport,3
351,GO:0071277,cellular response to calcium ion,3
352,GO:0001953,negative regulation of cell-matrix adhesion,3
353,GO:0071333,cellular response to glucose stimulus,3
354,GO:0090394,negative regulation of excitatory postsynaptic potential,3
355,GO:0048147,negative regulation of fibroblast proliferation,3
356,GO:0001975,response to amphetamine,3
357,GO:0016239,positive regulation of macroautophagy,3
358,GO:0010592,positive regulation of lamellipodium assembly,3
359,GO:0051496,positive regulation of stress fiber assembly,3
360,GO:1904646,cellular response to amyloid-beta,3
361,GO:0032728,positive regulation of interferon-beta production,3
362,GO:0034644,cellular response to UV,3
363,GO:0006511,ubiquitin-dependent protein catabolic process,3
364,GO:0045471,response to ethanol,3
365,GO:0051571,positive regulation of histone H3-K4 methylation,3
366,GO:0045792,negative regulation of cell size,3
367,GO:0045596,negative regulation of cell differentiation,3
368,GO:0090090,negative regulation of canonical Wnt signaling pathway,3
369,GO:2001234,negative regulation of apoptotic signaling pathway,3
370,GO:0032007,negative regulation of TOR signaling,3
371,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,3
372,GO:0032092,positive regulation of protein binding,3
373,GO:0071466,cellular response to xenobiotic stimulus,3
374,GO:0005575,cellular_component,3
375,GO:0016746,acyltransferase activity,3
376,GO:0042552,myelination,3
377,GO:0090314,positive regulation of protein targeting to membrane,3
378,GO:0034451,centriolar satellite,3
379,GO:0000281,mitotic cytokinesis,3
380,GO:0000278,mitotic cell cycle,3
381,GO:0051963,regulation of synapse assembly,3
382,GO:0045664,regulation of neuron differentiation,3
383,GO:0010975,regulation of neuron projection development,3
384,GO:0036464,cytoplasmic ribonucleoprotein granule,3
385,GO:0007616,long-term memory,3
386,GO:0032993,protein-DNA complex,3
387,GO:0005085,guanyl-nucleotide exchange factor activity,3
388,GO:0060998,regulation of dendritic spine development,3
389,GO:0005768,endosome,3
390,GO:0034063,stress granule assembly,3
391,GO:0012505,endomembrane system,3
392,GO:0003007,heart morphogenesis,3
393,GO:0030666,endocytic vesicle membrane,3
394,GO:0007626,locomotory behavior,3
395,GO:0046332,SMAD binding,3
396,GO:0017124,SH3 domain binding,3
397,GO:0000792,heterochromatin,3
398,GO:0008331,high voltage-gated calcium channel activity,3
399,GO:0021766,hippocampus development,3
400,GO:0051932,"synaptic transmission, GABAergic",3
401,GO:0022849,glutamate-gated calcium ion channel activity,3
402,GO:0007281,germ cell development,3
403,GO:0097116,gephyrin clustering involved in postsynaptic density assembly,3
404,GO:0055038,recycling endosome membrane,3
405,GO:0098983,"symmetric, GABA-ergic, inhibitory synapse",3
406,GO:1900034,regulation of cellular response to heat,3
407,GO:0043087,regulation of GTPase activity,3
408,GO:0042127,regulation of cell population proliferation,3
409,GO:0051649,establishment of localization in cell,3
410,GO:2000310,regulation of NMDA receptor activity,3
411,GO:0016580,Sin3 complex,3
412,GO:0043484,regulation of RNA splicing,3
413,GO:0048144,fibroblast proliferation,3
414,GO:1904062,regulation of cation transmembrane transport,3
415,GO:0001650,fibrillar center,3
416,GO:0032956,regulation of actin cytoskeleton organization,3
417,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",3
418,GO:0035115,embryonic forelimb morphogenesis,3
419,GO:0097676,histone H3-K36 dimethylation,3
420,GO:0043539,protein serine/threonine kinase activator activity,3
421,GO:0000932,P-body,3
422,GO:0008289,lipid binding,3
423,GO:0004972,NMDA glutamate receptor activity,3
424,GO:0021819,layer formation in cerebral cortex,3
425,GO:0016407,acetyltransferase activity,3
426,GO:0031410,cytoplasmic vesicle,3
427,GO:0030659,cytoplasmic vesicle membrane,3
428,GO:0008093,cytoskeletal anchor activity,3
429,GO:0000502,proteasome complex,3
430,GO:0016328,lateral plasma membrane,3
431,GO:0017146,NMDA selective glutamate receptor complex,3
432,GO:0035255,ionotropic glutamate receptor binding,3
433,GO:0034220,ion transmembrane transport,3
434,GO:0032839,dendrite cytoplasm,3
435,GO:0097193,intrinsic apoptotic signaling pathway,3
436,GO:0031648,protein destabilization,3
437,GO:0006349,regulation of gene expression by genomic imprinting,3
438,GO:0043198,dendritic shaft,3
439,GO:0048009,insulin-like growth factor receptor signaling pathway,3
440,GO:0006606,protein import into nucleus,3
441,GO:0045087,innate immune response,3
442,GO:1904862,inhibitory synapse assembly,3
443,GO:0050321,tau-protein kinase activity,3
444,GO:0034394,protein localization to cell surface,3
445,GO:0035097,histone methyltransferase complex,3
446,GO:0042826,histone deacetylase binding,3
447,GO:0035418,protein localization to synapse,3
448,GO:0046974,histone H3K9 methyltransferase activity,3
449,GO:0016586,RSC-type complex,3
450,GO:0007265,Ras protein signal transduction,3
451,GO:0097692,histone H3-K4 monomethylation,3
452,GO:0010977,negative regulation of neuron projection development,3
453,GO:0005759,mitochondrial matrix,3
454,GO:0098655,cation transmembrane transport,3
455,GO:0048593,camera-type eye morphogenesis,3
456,GO:0060999,positive regulation of dendritic spine development,3
457,GO:0006814,sodium ion transport,3
458,GO:0019233,sensory perception of pain,3
459,GO:0005248,voltage-gated sodium channel activity,3
460,GO:0007605,sensory perception of sound,3
461,GO:0031175,neuron projection development,3
462,GO:0001501,skeletal system development,3
463,GO:0010288,response to lead ion,3
464,GO:0007519,skeletal muscle tissue development,3
465,GO:0061038,uterus morphogenesis,3
466,GO:0031492,nucleosomal DNA binding,3
467,GO:0018107,peptidyl-threonine phosphorylation,3
468,GO:0043022,ribosome binding,3
469,GO:2000969,positive regulation of AMPA receptor activity,3
470,GO:0031252,cell leading edge,3
471,GO:0048666,neuron development,3
472,GO:0044297,cell body,3
473,GO:0048709,oligodendrocyte differentiation,3
474,GO:0048487,beta-tubulin binding,3
475,GO:0007405,neuroblast proliferation,3
476,GO:1901224,positive regulation of NIK/NF-kappaB signaling,3
477,GO:0001649,osteoblast differentiation,3
478,GO:0007584,response to nutrient,3
479,GO:0009948,anterior/posterior axis specification,3
480,GO:0005923,bicellular tight junction,3
481,GO:0004879,nuclear receptor activity,3
482,GO:0031016,pancreas development,3
483,GO:0035265,organ growth,3
484,GO:0042383,sarcolemma,3
485,GO:0007204,positive regulation of cytosolic calcium ion concentration,3
486,GO:0070369,beta-catenin-TCF7L2 complex,3
487,GO:0030307,positive regulation of cell growth,3
488,GO:0043014,alpha-tubulin binding,3
489,GO:0018108,peptidyl-tyrosine phosphorylation,3
490,GO:0001518,voltage-gated sodium channel complex,3
491,GO:0030316,osteoclast differentiation,3
492,GO:0046966,nuclear thyroid hormone receptor binding,3
493,GO:0031333,negative regulation of protein-containing complex assembly,3
494,GO:0048870,cell motility,3
495,GO:0030331,nuclear estrogen receptor binding,3
496,GO:0030183,B cell differentiation,3
497,GO:0060041,retina development in camera-type eye,3
498,GO:0098609,cell-cell adhesion,3
499,GO:0016310,phosphorylation,3
500,GO:0042297,vocal learning,3
501,GO:0005635,nuclear envelope,3
502,GO:0070588,calcium ion transmembrane transport,3
503,GO:0045335,phagocytic vesicle,3
504,GO:0030220,platelet formation,3
505,GO:0097553,calcium ion transmembrane import into cytosol,3
506,GO:0098703,calcium ion import across plasma membrane,3
507,GO:1904115,axon cytoplasm,3
508,GO:0030177,positive regulation of Wnt signaling pathway,3
509,GO:0016079,synaptic vesicle exocytosis,2
510,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,2
511,GO:0043967,histone H4 acetylation,2
512,GO:0000993,RNA polymerase II complex binding,2
513,GO:0090575,RNA polymerase II transcription regulator complex,2
514,GO:0016188,synaptic vesicle maturation,2
515,GO:0001822,kidney development,2
516,GO:0030374,nuclear receptor coactivator activity,2
517,GO:0046965,nuclear retinoid X receptor binding,2
518,GO:0043984,histone H4-K16 acetylation,2
519,GO:0097091,synaptic vesicle clustering,2
520,GO:0007219,Notch signaling pathway,2
521,GO:0048538,thymus development,2
522,GO:0042799,histone H4K20 methyltransferase activity,2
523,GO:0019894,kinesin binding,2
524,GO:0033592,RNA strand annealing activity,2
525,GO:0070936,protein K48-linked ubiquitination,2
526,GO:0008094,"ATP-dependent activity, acting on DNA",2
527,GO:0097114,NMDA glutamate receptor clustering,2
528,GO:0019903,protein phosphatase binding,2
529,GO:0030522,intracellular receptor signaling pathway,2
530,GO:0021772,olfactory bulb development,2
531,GO:0030838,positive regulation of actin filament polymerization,2
532,GO:0001966,thigmotaxis,2
533,GO:0030163,protein catabolic process,2
534,GO:0097113,AMPA glutamate receptor clustering,2
535,GO:0051865,protein autoubiquitination,2
536,GO:0045111,intermediate filament cytoskeleton,2
537,GO:0006473,protein acetylation,2
538,GO:0005882,intermediate filament,2
539,GO:0030165,PDZ domain binding,2
540,GO:0007229,integrin-mediated signaling pathway,2
541,GO:2000251,positive regulation of actin cytoskeleton reorganization,2
542,GO:0016581,NuRD complex,2
543,GO:0008286,insulin receptor signaling pathway,2
544,GO:0005158,insulin receptor binding,2
545,GO:0019905,syntaxin binding,2
546,GO:0035267,NuA4 histone acetyltransferase complex,2
547,GO:0051290,protein heterotetramerization,2
548,GO:0060384,innervation,2
549,GO:0051260,protein homooligomerization,2
550,GO:0042472,inner ear morphogenesis,2
551,GO:0005506,iron ion binding,2
552,GO:0016853,isomerase activity,2
553,GO:0000786,nucleosome,2
554,GO:0006337,nucleosome disassembly,2
555,GO:0034728,nucleosome organization,2
556,GO:0043491,protein kinase B signaling,2
557,GO:0032281,AMPA glutamate receptor complex,2
558,GO:0042475,odontogenesis of dentin-containing tooth,2
559,GO:1903204,negative regulation of oxidative stress-induced neuron death,2
560,GO:0032454,histone H3K9 demethylase activity,2
561,GO:0006909,phagocytosis,2
562,GO:0048853,forebrain morphogenesis,2
563,GO:0034046,poly(G) binding,2
564,GO:0043408,regulation of MAPK cascade,2
565,GO:0005844,polysome,2
566,GO:0034967,Set3 complex,2
567,GO:0007214,gamma-aminobutyric acid signaling pathway,2
568,GO:2000311,regulation of AMPA receptor activity,2
569,GO:0007422,peripheral nervous system development,2
570,GO:0001702,gastrulation with mouth forming second,2
571,GO:0048806,genitalia development,2
572,GO:0050882,voluntary musculoskeletal movement,2
573,GO:0050918,positive chemotaxis,2
574,GO:0043923,positive regulation by host of viral transcription,2
575,GO:0055037,recycling endosome,2
576,GO:0097120,receptor localization to synapse,2
577,GO:0030900,forebrain development,2
578,GO:0008143,poly(A) binding,2
579,GO:0034647,histone H3K4me/H3K4me2/H3K4me3 demethylase activity,2
580,GO:0030175,filopodium,2
581,GO:0034446,substrate adhesion-dependent cell spreading,2
582,GO:0050795,regulation of behavior,2
583,GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,2
584,GO:0031234,extrinsic component of cytoplasmic side of plasma membrane,2
585,GO:0050770,regulation of axonogenesis,2
586,GO:0030516,regulation of axon extension,2
587,GO:0010506,regulation of autophagy,2
588,GO:0045765,regulation of angiogenesis,2
589,GO:0060324,face development,2
590,GO:0006661,phosphatidylinositol biosynthetic process,2
591,GO:0014065,phosphatidylinositol 3-kinase signaling,2
592,GO:0008543,fibroblast growth factor receptor signaling pathway,2
593,GO:0042060,wound healing,2
594,GO:0070527,platelet aggregation,2
595,GO:1904813,ficolin-1-rich granule lumen,2
596,GO:0043235,receptor complex,2
597,GO:0043113,receptor clustering,2
598,GO:0014010,Schwann cell proliferation,2
599,GO:0016595,glutamate binding,2
600,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,2
601,GO:0043968,histone H2A acetylation,2
602,GO:0030160,synaptic receptor adaptor activity,2
603,GO:0004722,protein serine/threonine phosphatase activity,2
604,GO:0005244,voltage-gated ion channel activity,2
605,GO:0046330,positive regulation of JNK cascade,2
606,GO:0034720,histone H3-K4 demethylation,2
607,GO:0044648,histone H3-K4 dimethylation,2
608,GO:0080182,histone H3-K4 trimethylation,2
609,GO:0070210,Rpd3L-Expanded complex,2
610,GO:0043406,positive regulation of MAP kinase activity,2
611,GO:0016601,Rac protein signal transduction,2
612,GO:0003151,outflow tract morphogenesis,2
613,GO:0032453,histone H3K4 demethylase activity,2
614,GO:0031047,RNA-mediated gene silencing,2
615,GO:0030902,hindbrain development,2
616,GO:0010971,positive regulation of G2/M transition of mitotic cell cycle,2
617,GO:1900087,positive regulation of G1/S transition of mitotic cell cycle,2
618,GO:0018026,peptidyl-lysine monomethylation,2
619,GO:0016594,glycine binding,2
620,GO:1990635,proximal dendrite,2
621,GO:0006508,proteolysis,2
622,GO:0030674,protein-macromolecule adaptor activity,2
623,GO:0016279,protein-lysine N-methyltransferase activity,2
624,GO:0106363,protein-cysteine methyltransferase activity,2
625,GO:0061733,peptide-lysine-N-acetyltransferase activity,2
626,GO:0004713,protein tyrosine kinase activity,2
627,GO:0000149,SNARE binding,2
628,GO:0008076,voltage-gated potassium channel complex,2
629,GO:0005249,voltage-gated potassium channel activity,2
630,GO:0034212,peptide N-acetyltransferase activity,2
631,GO:0004725,protein tyrosine phosphatase activity,2
632,GO:1990782,protein tyrosine kinase binding,2
633,GO:0051117,ATPase binding,2
