,GO_ID,GO_term,GO_term_Count
57,GO:0006355,regulation of DNA-templated transcription,24
58,GO:0016324,apical plasma membrane,24
59,GO:0009410,response to xenobiotic stimulus,24
60,GO:0008285,negative regulation of cell population proliferation,24
61,GO:0045296,cadherin binding,23
62,GO:0015031,protein transport,23
63,GO:0043197,dendritic spine,23
64,GO:0005925,focal adhesion,23
65,GO:0005102,signaling receptor binding,23
66,GO:0044877,protein-containing complex binding,22
67,GO:0051015,actin filament binding,22
68,GO:0043066,negative regulation of apoptotic process,22
69,GO:0016567,protein ubiquitination,22
70,GO:0016887,ATP hydrolysis activity,22
71,GO:0003700,DNA-binding transcription factor activity,21
72,GO:0005516,calmodulin binding,21
73,GO:0019904,protein domain specific binding,21
74,GO:0000139,Golgi membrane,21
75,GO:0030154,cell differentiation,21
76,GO:0008022,protein C-terminus binding,21
77,GO:0031267,small GTPase binding,21
78,GO:0016323,basolateral plasma membrane,21
79,GO:0005769,early endosome,21
80,GO:0007186,G protein-coupled receptor signaling pathway,21
81,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",20
82,GO:0006915,apoptotic process,20
83,GO:0106310,protein serine kinase activity,20
84,GO:0016477,cell migration,20
85,GO:0004674,protein serine/threonine kinase activity,20
86,GO:0007411,axon guidance,19
87,GO:0016607,nuclear speck,19
88,GO:0006338,chromatin remodeling,19
89,GO:0005856,cytoskeleton,19
90,GO:0005096,GTPase activator activity,19
91,GO:0004930,G protein-coupled receptor activity,19
92,GO:0098839,postsynaptic density membrane,19
93,GO:1990904,ribonucleoprotein complex,18
94,GO:0034220,ion transmembrane transport,18
95,GO:0019901,protein kinase binding,18
96,GO:0001764,neuron migration,18
97,GO:0009897,external side of plasma membrane,18
98,GO:0098793,presynapse,18
99,GO:0008284,positive regulation of cell population proliferation,18
100,GO:0050790,regulation of catalytic activity,18
101,GO:0062023,collagen-containing extracellular matrix,17
102,GO:0043235,receptor complex,17
103,GO:0005912,adherens junction,17
104,GO:0005874,microtubule,16
105,GO:0043204,perikaryon,16
106,GO:0007626,locomotory behavior,16
107,GO:0098982,GABA-ergic synapse,16
108,GO:0007283,spermatogenesis,16
109,GO:0001666,response to hypoxia,16
110,GO:0007417,central nervous system development,15
111,GO:0030336,negative regulation of cell migration,15
112,GO:0050804,modulation of chemical synaptic transmission,15
113,GO:0015629,actin cytoskeleton,15
114,GO:0098685,Schaffer collateral - CA1 synapse,15
115,GO:0060090,molecular adaptor activity,15
116,GO:0098609,cell-cell adhesion,15
117,GO:0034765,regulation of ion transmembrane transport,15
118,GO:0045121,membrane raft,15
119,GO:0030165,PDZ domain binding,15
120,GO:1904315,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,14
121,GO:0008360,regulation of cell shape,14
122,GO:0001540,amyloid-beta binding,14
123,GO:0038023,signaling receptor activity,14
124,GO:0043410,positive regulation of MAPK cascade,14
125,GO:0035176,social behavior,14
126,GO:0018105,peptidyl-serine phosphorylation,14
127,GO:0007605,sensory perception of sound,14
128,GO:0070374,positive regulation of ERK1 and ERK2 cascade,14
129,GO:0001525,angiogenesis,14
130,GO:0030426,growth cone,13
131,GO:0060079,excitatory postsynaptic potential,13
132,GO:0010629,negative regulation of gene expression,13
133,GO:0042393,histone binding,13
134,GO:0005788,endoplasmic reticulum lumen,13
135,GO:0006955,immune response,13
136,GO:0043524,negative regulation of neuron apoptotic process,13
137,GO:0042391,regulation of membrane potential,13
138,GO:0006325,chromatin organization,13
139,GO:0006511,ubiquitin-dependent protein catabolic process,13
140,GO:0003674,molecular_function,13
141,GO:0003713,transcription coactivator activity,13
142,GO:0098794,postsynapse,13
143,GO:0051726,regulation of cell cycle,13
144,GO:0004842,ubiquitin-protein transferase activity,13
145,GO:0006281,DNA repair,13
146,GO:0003729,mRNA binding,13
147,GO:0005765,lysosomal membrane,13
148,GO:0000976,transcription cis-regulatory region binding,13
149,GO:0006366,transcription by RNA polymerase II,13
150,GO:0003779,actin binding,13
151,GO:0007613,memory,13
152,GO:0006954,inflammatory response,12
153,GO:0045766,positive regulation of angiogenesis,12
154,GO:0001701,in utero embryonic development,12
155,GO:0007275,multicellular organism development,12
156,GO:0043065,positive regulation of apoptotic process,12
157,GO:0035249,"synaptic transmission, glutamatergic",12
158,GO:0045087,innate immune response,12
159,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,12
160,GO:0007049,cell cycle,12
161,GO:0008017,microtubule binding,12
162,GO:0005694,chromosome,12
163,GO:0005085,guanyl-nucleotide exchange factor activity,12
164,GO:0004672,protein kinase activity,12
165,GO:0046777,protein autophosphorylation,12
166,GO:0046982,protein heterodimerization activity,12
167,GO:0030335,positive regulation of cell migration,12
168,GO:0006351,DNA-templated transcription,12
169,GO:0002250,adaptive immune response,12
170,GO:0031901,early endosome membrane,11
171,GO:0005525,GTP binding,11
172,GO:0008021,synaptic vesicle,11
173,GO:0006887,exocytosis,11
174,GO:0051897,positive regulation of protein kinase B signaling,11
175,GO:0001650,fibrillar center,11
176,GO:0017124,SH3 domain binding,11
177,GO:0001934,positive regulation of protein phosphorylation,11
178,GO:0030054,cell junction,11
179,GO:0007166,cell surface receptor signaling pathway,11
180,GO:0072659,protein localization to plasma membrane,11
181,GO:0097110,scaffold protein binding,11
182,GO:0016055,Wnt signaling pathway,11
183,GO:0007601,visual perception,11
184,GO:0006508,proteolysis,11
185,GO:0016604,nuclear body,11
186,GO:0035725,sodium ion transmembrane transport,11
187,GO:0031965,nuclear membrane,11
188,GO:0007612,learning,11
189,GO:0030027,lamellipodium,11
190,GO:0008013,beta-catenin binding,11
191,GO:0005938,cell cortex,11
192,GO:0061630,ubiquitin protein ligase activity,11
193,GO:0005743,mitochondrial inner membrane,10
194,GO:0030182,neuron differentiation,10
195,GO:0031625,ubiquitin protein ligase binding,10
196,GO:0021987,cerebral cortex development,10
197,GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,10
198,GO:0044325,transmembrane transporter binding,10
199,GO:0005604,basement membrane,10
200,GO:0045471,response to ethanol,10
201,GO:0010976,positive regulation of neuron projection development,10
202,GO:0070588,calcium ion transmembrane transport,10
203,GO:0051965,positive regulation of synapse assembly,10
204,GO:0000781,"chromosome, telomeric region",10
205,GO:0031982,vesicle,10
206,GO:0008217,regulation of blood pressure,10
207,GO:0120162,positive regulation of cold-induced thermogenesis,10
208,GO:0007204,positive regulation of cytosolic calcium ion concentration,10
209,GO:0018108,peptidyl-tyrosine phosphorylation,10
210,GO:0006974,cellular response to DNA damage stimulus,10
211,GO:0071805,potassium ion transmembrane transport,10
212,GO:0051301,cell division,10
213,GO:0008076,voltage-gated potassium channel complex,10
214,GO:0005911,cell-cell junction,10
215,GO:0043547,positive regulation of GTPase activity,10
216,GO:0000281,mitotic cytokinesis,10
217,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",10
218,GO:0005178,integrin binding,10
219,GO:0001501,skeletal system development,10
220,GO:0007568,aging,10
221,GO:0051056,regulation of small GTPase mediated signal transduction,9
222,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,9
223,GO:0030594,neurotransmitter receptor activity,9
224,GO:0031410,cytoplasmic vesicle,9
225,GO:0005543,phospholipid binding,9
226,GO:0051092,positive regulation of NF-kappaB transcription factor activity,9
227,GO:0032355,response to estradiol,9
228,GO:0008066,glutamate receptor activity,9
229,GO:0008150,biological_process,9
230,GO:0036064,ciliary basal body,9
231,GO:0005768,endosome,9
232,GO:0042995,cell projection,9
233,GO:0010008,endosome membrane,9
234,GO:0043195,terminal bouton,9
235,GO:0000287,magnesium ion binding,9
236,GO:0045665,negative regulation of neuron differentiation,9
237,GO:0000209,protein polyubiquitination,9
238,GO:0043565,sequence-specific DNA binding,9
239,GO:0006470,protein dephosphorylation,9
240,GO:0007507,heart development,9
241,GO:0005802,trans-Golgi network,9
242,GO:0099171,presynaptic modulation of chemical synaptic transmission,9
243,GO:0003924,GTPase activity,9
244,GO:0005759,mitochondrial matrix,9
245,GO:0150104,transport across blood-brain barrier,9
246,GO:0042826,histone deacetylase binding,9
247,GO:0007409,axonogenesis,9
248,GO:0001975,response to amphetamine,9
249,GO:0042981,regulation of apoptotic process,9
250,GO:0140297,DNA-binding transcription factor binding,9
251,GO:0007623,circadian rhythm,9
252,GO:0055085,transmembrane transport,9
253,GO:0000932,P-body,9
254,GO:0030496,midbody,9
255,GO:0042470,melanosome,8
256,GO:0042220,response to cocaine,8
257,GO:0016192,vesicle-mediated transport,8
258,GO:0007219,Notch signaling pathway,8
259,GO:1905606,regulation of presynapse assembly,8
260,GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,8
261,GO:0060078,regulation of postsynaptic membrane potential,8
262,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,8
263,GO:0005891,voltage-gated calcium channel complex,8
264,GO:0015630,microtubule cytoskeleton,8
265,GO:0032922,circadian regulation of gene expression,8
266,GO:0086091,regulation of heart rate by cardiac conduction,8
267,GO:0042752,regulation of circadian rhythm,8
268,GO:0010468,regulation of gene expression,8
269,GO:0050839,cell adhesion molecule binding,8
270,GO:0000776,kinetochore,8
271,GO:0031594,neuromuscular junction,8
272,GO:0007611,learning or memory,8
273,GO:0031175,neuron projection development,8
274,GO:0051260,protein homooligomerization,8
275,GO:0048812,neuron projection morphogenesis,8
276,GO:0004888,transmembrane signaling receptor activity,8
277,GO:0034451,centriolar satellite,8
278,GO:0030036,actin cytoskeleton organization,8
279,GO:0030667,secretory granule membrane,8
280,GO:0019228,neuronal action potential,8
281,GO:0006260,DNA replication,8
282,GO:0006816,calcium ion transport,8
283,GO:0035094,response to nicotine,8
284,GO:0035235,ionotropic glutamate receptor signaling pathway,8
285,GO:0005201,extracellular matrix structural constituent,8
286,GO:0055037,recycling endosome,8
287,GO:0000902,cell morphogenesis,8
288,GO:0090630,activation of GTPase activity,8
289,GO:0099560,synaptic membrane adhesion,8
290,GO:0006397,mRNA processing,8
291,GO:0007416,synapse assembly,8
292,GO:0006874,cellular calcium ion homeostasis,8
293,GO:0005764,lysosome,8
294,GO:0007015,actin filament organization,8
295,GO:0007267,cell-cell signaling,8
296,GO:0055038,recycling endosome membrane,8
297,GO:1904646,cellular response to amyloid-beta,7
298,GO:0006914,autophagy,7
299,GO:0030672,synaptic vesicle membrane,7
300,GO:0004879,nuclear receptor activity,7
301,GO:0051966,"regulation of synaptic transmission, glutamatergic",7
302,GO:0032809,neuronal cell body membrane,7
303,GO:0071222,cellular response to lipopolysaccharide,7
304,GO:0050852,T cell receptor signaling pathway,7
305,GO:0005198,structural molecule activity,7
306,GO:0071013,catalytic step 2 spliceosome,7
307,GO:0006836,neurotransmitter transport,7
308,GO:1905515,non-motile cilium assembly,7
309,GO:0031490,chromatin DNA binding,7
310,GO:0050877,nervous system process,7
311,GO:0007608,sensory perception of smell,7
312,GO:0032147,activation of protein kinase activity,7
313,GO:0001938,positive regulation of endothelial cell proliferation,7
314,GO:0010595,positive regulation of endothelial cell migration,7
315,GO:0005923,bicellular tight junction,7
316,GO:0051602,response to electrical stimulus,7
317,GO:0051592,response to calcium ion,7
318,GO:0005635,nuclear envelope,7
319,GO:0005929,cilium,7
320,GO:0060271,cilium assembly,7
321,GO:0005814,centriole,7
322,GO:0030141,secretory granule,7
323,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,7
324,GO:0005575,cellular_component,7
325,GO:1904115,axon cytoplasm,7
326,GO:0042383,sarcolemma,7
327,GO:0018107,peptidyl-threonine phosphorylation,7
328,GO:0003714,transcription corepressor activity,7
329,GO:0016442,RISC complex,7
330,GO:0030509,BMP signaling pathway,7
331,GO:0016459,myosin complex,7
332,GO:0000146,microfilament motor activity,7
333,GO:0030666,endocytic vesicle membrane,7
334,GO:0033674,positive regulation of kinase activity,7
335,GO:0006886,intracellular protein transport,7
336,GO:0003712,transcription coregulator activity,7
337,GO:0010975,regulation of neuron projection development,7
338,GO:0002020,protease binding,7
339,GO:0020037,heme binding,7
340,GO:0000165,MAPK cascade,7
341,GO:0005231,excitatory extracellular ligand-gated ion channel activity,7
342,GO:0098686,hippocampal mossy fiber to CA3 synapse,7
343,GO:0008584,male gonad development,7
344,GO:0031012,extracellular matrix,7
345,GO:0000398,"mRNA splicing, via spliceosome",7
346,GO:0004713,protein tyrosine kinase activity,7
347,GO:0005770,late endosome,7
348,GO:0008104,protein localization,7
349,GO:0016525,negative regulation of angiogenesis,7
350,GO:0050821,protein stabilization,7
351,GO:0008289,lipid binding,7
352,GO:0015276,ligand-gated ion channel activity,7
353,GO:0000226,microtubule cytoskeleton organization,7
354,GO:0006897,endocytosis,7
355,GO:0072686,mitotic spindle,7
356,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,7
357,GO:0003777,microtubule motor activity,7
358,GO:0099634,postsynaptic specialization membrane,7
359,GO:0006813,potassium ion transport,7
360,GO:1903078,positive regulation of protein localization to plasma membrane,7
361,GO:0045494,photoreceptor cell maintenance,7
362,GO:0005249,voltage-gated potassium channel activity,7
363,GO:0015459,potassium channel regulator activity,7
364,GO:0043087,regulation of GTPase activity,7
365,GO:0043966,histone H3 acetylation,7
366,GO:0007018,microtubule-based movement,7
367,GO:0001933,negative regulation of protein phosphorylation,7
368,GO:0001917,photoreceptor inner segment,7
369,GO:0045907,positive regulation of vasoconstriction,7
370,GO:0060548,negative regulation of cell death,7
371,GO:0007162,negative regulation of cell adhesion,6
372,GO:0016342,catenin complex,6
373,GO:0030018,Z disc,6
374,GO:0016328,lateral plasma membrane,6
375,GO:0007043,cell-cell junction assembly,6
376,GO:0001726,ruffle,6
377,GO:0044297,cell body,6
378,GO:0006811,ion transport,6
379,GO:0060071,"Wnt signaling pathway, planar cell polarity pathway",6
380,GO:0042102,positive regulation of T cell proliferation,6
381,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,6
382,GO:0012507,ER to Golgi transport vesicle membrane,6
383,GO:0098632,cell-cell adhesion mediator activity,6
384,GO:0007216,G protein-coupled glutamate receptor signaling pathway,6
385,GO:1902600,proton transmembrane transport,6
386,GO:0035815,positive regulation of renal sodium excretion,6
387,GO:0050714,positive regulation of protein secretion,6
388,GO:0030246,carbohydrate binding,6
389,GO:0008283,cell population proliferation,6
390,GO:0097060,synaptic membrane,6
391,GO:0030890,positive regulation of B cell proliferation,6
392,GO:0051968,"positive regulation of synaptic transmission, glutamatergic",6
393,GO:0060070,canonical Wnt signaling pathway,6
394,GO:0045776,negative regulation of blood pressure,6
395,GO:0000786,nucleosome,6
396,GO:0051928,positive regulation of calcium ion transport,6
397,GO:0007264,small GTPase mediated signal transduction,6
398,GO:0000278,mitotic cell cycle,6
399,GO:0060134,prepulse inhibition,6
400,GO:0005245,voltage-gated calcium channel activity,6
401,GO:0090263,positive regulation of canonical Wnt signaling pathway,6
402,GO:0008542,visual learning,6
403,GO:0005815,microtubule organizing center,6
404,GO:0043679,axon terminus,6
405,GO:0007413,axonal fasciculation,6
406,GO:0003727,single-stranded RNA binding,6
407,GO:0009925,basal plasma membrane,6
408,GO:0035278,miRNA-mediated gene silencing by inhibition of translation,6
409,GO:0001662,behavioral fear response,6
410,GO:0048148,behavioral response to cocaine,6
411,GO:0070373,negative regulation of ERK1 and ERK2 cascade,6
412,GO:0006493,protein O-linked glycosylation,6
413,GO:0031648,protein destabilization,6
414,GO:0016579,protein deubiquitination,6
415,GO:0043154,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,6
416,GO:0019233,sensory perception of pain,6
417,GO:0005080,protein kinase C binding,6
418,GO:0034446,substrate adhesion-dependent cell spreading,6
419,GO:0005262,calcium channel activity,6
420,GO:0070509,calcium ion import,6
421,GO:0098703,calcium ion import across plasma membrane,6
422,GO:0001889,liver development,6
423,GO:0006629,lipid metabolic process,6
424,GO:0001916,positive regulation of T cell mediated cytotoxicity,6
425,GO:0050808,synapse organization,6
426,GO:0006936,muscle contraction,6
427,GO:0004521,endoribonuclease activity,6
428,GO:0050727,regulation of inflammatory response,6
429,GO:0060047,heart contraction,6
430,GO:0043198,dendritic shaft,6
431,GO:0035865,cellular response to potassium ion,6
432,GO:0036464,cytoplasmic ribonucleoprotein granule,6
433,GO:0012505,endomembrane system,6
434,GO:0007625,grooming behavior,6
435,GO:1902476,chloride transmembrane transport,6
436,GO:0048678,response to axon injury,6
437,GO:0032496,response to lipopolysaccharide,6
438,GO:0099505,regulation of presynaptic membrane potential,6
439,GO:0051087,chaperone binding,6
440,GO:0003725,double-stranded RNA binding,6
441,GO:0099175,regulation of postsynapse organization,6
442,GO:0007215,glutamate receptor signaling pathway,6
443,GO:0042593,glucose homeostasis,6
444,GO:0004714,transmembrane receptor protein tyrosine kinase activity,6
445,GO:0006417,regulation of translation,6
446,GO:0070555,response to interleukin-1,6
447,GO:0005796,Golgi lumen,6
448,GO:0007010,cytoskeleton organization,6
449,GO:0005667,transcription regulator complex,6
450,GO:0008201,heparin binding,6
451,GO:0032452,histone demethylase activity,6
452,GO:0000118,histone deacetylase complex,6
453,GO:0009409,response to cold,6
454,GO:0016573,histone acetylation,6
455,GO:0032956,regulation of actin cytoskeleton organization,6
456,GO:0043967,histone H4 acetylation,6
457,GO:0010977,negative regulation of neuron projection development,6
458,GO:0045197,establishment or maintenance of epithelial cell apical/basal polarity,6
459,GO:0060076,excitatory synapse,6
460,GO:2000463,positive regulation of excitatory postsynaptic potential,6
461,GO:0032869,cellular response to insulin stimulus,6
462,GO:0042110,T cell activation,6
463,GO:0009636,response to toxic substance,6
464,GO:0042605,peptide antigen binding,6
465,GO:0021766,hippocampus development,6
466,GO:0050796,regulation of insulin secretion,6
467,GO:0006909,phagocytosis,6
468,GO:0030139,endocytic vesicle,5
469,GO:0099566,regulation of postsynaptic cytosolic calcium ion concentration,5
470,GO:0016363,nuclear matrix,5
471,GO:0007338,single fertilization,5
472,GO:0090148,membrane fission,5
473,GO:0030514,negative regulation of BMP signaling pathway,5
474,GO:0044295,axonal growth cone,5
475,GO:0048013,ephrin receptor signaling pathway,5
476,GO:0005637,nuclear inner membrane,5
477,GO:0050919,negative chemotaxis,5
478,GO:0009617,response to bacterium,5
479,GO:0035279,miRNA-mediated gene silencing by mRNA destabilization,5
480,GO:1900273,positive regulation of long-term synaptic potentiation,5
481,GO:0048786,presynaptic active zone,5
482,GO:0009790,embryo development,5
483,GO:0009966,regulation of signal transduction,5
484,GO:0051497,negative regulation of stress fiber assembly,5
485,GO:0035264,multicellular organism growth,5
486,GO:0009653,anatomical structure morphogenesis,5
487,GO:0051967,"negative regulation of synaptic transmission, glutamatergic",5
488,GO:0009887,animal organ morphogenesis,5
489,GO:0030506,ankyrin binding,5
490,GO:0099170,postsynaptic modulation of chemical synaptic transmission,5
491,GO:0006334,nucleosome assembly,5
492,GO:0016358,dendrite development,5
493,GO:0050772,positive regulation of axonogenesis,5
494,GO:0032590,dendrite membrane,5
495,GO:0045177,apical part of cell,5
496,GO:0090307,mitotic spindle assembly,5
497,GO:0045921,positive regulation of exocytosis,5
498,GO:1990573,potassium ion import across plasma membrane,5
499,GO:0042417,dopamine metabolic process,5
500,GO:0032743,positive regulation of interleukin-2 production,5
501,GO:0004843,cysteine-type deubiquitinase activity,5
502,GO:0006469,negative regulation of protein kinase activity,5
503,GO:0051898,negative regulation of protein kinase B signaling,5
504,GO:0086010,membrane depolarization during action potential,5
505,GO:0005741,mitochondrial outer membrane,5
506,GO:0005902,microvillus,5
507,GO:0030673,axolemma,5
508,GO:0042755,eating behavior,5
509,GO:0098962,regulation of postsynaptic neurotransmitter receptor activity,5
510,GO:0070936,protein K48-linked ubiquitination,5
511,GO:0007160,cell-matrix adhesion,5
512,GO:0045597,positive regulation of cell differentiation,5
513,GO:0065003,protein-containing complex assembly,5
514,GO:0051216,cartilage development,5
515,GO:0016925,protein sumoylation,5
516,GO:0031902,late endosome membrane,5
517,GO:0090398,cellular senescence,5
518,GO:0098655,cation transmembrane transport,5
519,GO:0048511,rhythmic process,5
520,GO:0050885,neuromuscular process controlling balance,5
521,GO:0043278,response to morphine,5
522,GO:0030334,regulation of cell migration,5
523,GO:0005871,kinesin complex,5
524,GO:0019900,kinase binding,5
525,GO:0031667,response to nutrient levels,5
526,GO:0033138,positive regulation of peptidyl-serine phosphorylation,5
527,GO:0006979,response to oxidative stress,5
528,GO:0032839,dendrite cytoplasm,5
529,GO:0005882,intermediate filament,5
530,GO:0045171,intercellular bridge,5
531,GO:0007229,integrin-mediated signaling pathway,5
532,GO:0006898,receptor-mediated endocytosis,5
533,GO:0042472,inner ear morphogenesis,5
534,GO:0051568,histone H3-K4 methylation,5
535,GO:0010951,negative regulation of endopeptidase activity,5
536,GO:0009611,response to wounding,5
537,GO:0016575,histone deacetylation,5
538,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,5
539,GO:0032587,ruffle membrane,5
540,GO:0047485,protein N-terminus binding,5
541,GO:0060292,long-term synaptic depression,5
542,GO:0060348,bone development,5
543,GO:0046983,protein dimerization activity,5
544,GO:0006606,protein import into nucleus,5
545,GO:0042130,negative regulation of T cell proliferation,5
546,GO:0007565,female pregnancy,5
547,GO:0043484,regulation of RNA splicing,5
548,GO:0050660,flavin adenine dinucleotide binding,5
549,GO:0071526,semaphorin-plexin signaling pathway,5
550,GO:0003730,mRNA 3'-UTR binding,5
551,GO:0001843,neural tube closure,5
552,GO:0043015,gamma-tubulin binding,5
553,GO:0017154,semaphorin receptor activity,5
554,GO:0022008,neurogenesis,5
555,GO:0010467,gene expression,5
556,GO:0019903,protein phosphatase binding,5
557,GO:0021549,cerebellum development,5
558,GO:0050728,negative regulation of inflammatory response,5
559,GO:0010507,negative regulation of autophagy,5
560,GO:0099507,ligand-gated ion channel activity involved in regulation of presynaptic membrane potential,5
561,GO:0017156,calcium-ion regulated exocytosis,5
562,GO:0048661,positive regulation of smooth muscle cell proliferation,5
563,GO:0014059,regulation of dopamine secretion,5
564,GO:0044305,calyx of Held,5
565,GO:0016529,sarcoplasmic reticulum,5
566,GO:0008016,regulation of heart contraction,5
567,GO:0001890,placenta development,5
568,GO:0042311,vasodilation,5
569,GO:0043406,positive regulation of MAP kinase activity,5
570,GO:0060074,synapse maturation,5
571,GO:0070527,platelet aggregation,5
572,GO:0007187,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",5
573,GO:0000993,RNA polymerase II complex binding,5
574,GO:0005884,actin filament,5
575,GO:0001518,voltage-gated sodium channel complex,5
576,GO:0002039,p53 binding,5
577,GO:0030534,adult behavior,5
578,GO:0001649,osteoblast differentiation,5
579,GO:0042060,wound healing,5
580,GO:0090543,Flemming body,5
581,GO:0001222,transcription corepressor binding,5
582,GO:0070371,ERK1 and ERK2 cascade,5
583,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,5
584,GO:0016310,phosphorylation,5
585,GO:0022857,transmembrane transporter activity,5
586,GO:0001750,photoreceptor outer segment,5
587,GO:0030048,actin filament-based movement,5
588,GO:0021756,striatum development,5
589,GO:0098688,parallel fiber to Purkinje cell synapse,5
590,GO:0042641,actomyosin,5
591,GO:0042162,telomeric DNA binding,5
592,GO:0008380,RNA splicing,5
593,GO:0006904,vesicle docking involved in exocytosis,5
594,GO:0034332,adherens junction organization,5
595,GO:0006396,RNA processing,5
596,GO:0019827,stem cell population maintenance,5
597,GO:0009888,tissue development,5
598,GO:0030183,B cell differentiation,5
599,GO:0007030,Golgi organization,5
600,GO:0005248,voltage-gated sodium channel activity,5
601,GO:0030670,phagocytic vesicle membrane,5
602,GO:0017053,transcription repressor complex,5
603,GO:0090502,"RNA phosphodiester bond hydrolysis, endonucleolytic",5
604,GO:0048488,synaptic vesicle endocytosis,5
605,GO:0007616,long-term memory,4
606,GO:0098992,neuronal dense core vesicle,4
607,GO:0006368,transcription elongation by RNA polymerase II promoter,4
608,GO:0004653,polypeptide N-acetylgalactosaminyltransferase activity,4
609,GO:0005844,polysome,4
610,GO:0098869,cellular oxidant detoxification,4
611,GO:0060041,retina development in camera-type eye,4
612,GO:0044666,MLL3/4 complex,4
613,GO:0007194,negative regulation of adenylate cyclase activity,4
614,GO:0036211,protein modification process,4
615,GO:0019905,syntaxin binding,4
616,GO:0071356,cellular response to tumor necrosis factor,4
617,GO:0071560,cellular response to transforming growth factor beta stimulus,4
618,GO:0043537,negative regulation of blood vessel endothelial cell migration,4
619,GO:0071300,cellular response to retinoic acid,4
620,GO:0051402,neuron apoptotic process,4
621,GO:0017075,syntaxin-1 binding,4
622,GO:0007158,neuron cell-cell adhesion,4
623,GO:0071407,cellular response to organic cyclic compound,4
624,GO:0048188,Set1C/COMPASS complex,4
625,GO:1903861,positive regulation of dendrite extension,4
626,GO:0043621,protein self-association,4
627,GO:0031748,D1 dopamine receptor binding,4
628,GO:0032570,response to progesterone,4
629,GO:0006968,cellular defense response,4
630,GO:0071333,cellular response to glucose stimulus,4
631,GO:0006869,lipid transport,4
632,GO:0015030,Cajal body,4
633,GO:0050775,positive regulation of dendrite morphogenesis,4
634,GO:0060291,long-term synaptic potentiation,4
635,GO:0071539,protein localization to centrosome,4
636,GO:0034504,protein localization to nucleus,4
637,GO:0046329,negative regulation of JNK cascade,4
638,GO:0048015,phosphatidylinositol-mediated signaling,4
639,GO:2000779,regulation of double-strand break repair,4
640,GO:0002116,semaphorin receptor complex,4
641,GO:0042711,maternal behavior,4
